name, clean_100k.ply, real_100k.ply, noiseless.ply, mesh.ply, comment
1051_che,明显孔洞,车窗孔洞,噪音过多 车窗孔洞,正常,
1053_che,正常,车窗孔洞,噪音过多 车窗孔洞,正常,
1055_che,正常,分割标注错误 车窗孔洞,噪音过多 车窗孔洞,正常,
1057_che,正常,噪音过多,噪音过多,正常,
1059_che,分割标注错误,分割标注错误 噪音过多,噪音过多,正常,
1061_che,正常,噪音过多,噪音过多 车窗孔洞,正常,
1063_che,正常,车窗孔洞 噪音过多,车窗孔洞 噪音过多,正常,
1065_che,车窗孔洞,车窗孔洞,车窗孔洞 噪音过多,正常,
1067_che,车窗孔洞 噪音过多,车窗孔洞 噪音过多,车窗孔洞 噪音过多,噪音过多,
1069_che,正常,车窗孔洞,噪音过多 车窗孔洞,正常,
1071_che,车窗孔洞,车窗孔洞 噪音过多,车窗孔洞 噪音过多,噪音过多,
1073_che,分割标注错误 车窗孔洞,车窗孔洞 分割标注错误,车窗孔洞 噪音过多,正常,
1075_che,正常,噪音过多 车窗孔洞,车窗孔洞,正常,
1077_fj,正常,正常,正常,正常,
1079_fj,正常,正常,正常,正常,
1083_fj,正常,正常,噪音过多,正常,
1085_fj,正常,噪音过多,噪音过多,正常,
1089_th, , , , ,data not complete
1091_th, , , , ,data not complete
1081_fj,正常,噪音过多,噪音过多,正常,
1087_th,分割标注缺失 噪音过多,分割标注缺失 噪音过多,噪音过多,噪音过多,
787_cd,分割标注缺失 表面不光滑,噪音过多 分割标注缺失 明显孔洞,噪音过多 明显孔洞,表面不光滑,
789_cd,噪音过多 分割标注缺失 表面不光滑,噪音过多 分割标注缺失 表面不光滑,噪音过多 表面不光滑,表面不光滑,
791_cd,噪音过多 分割标注缺失,噪音过多 分割标注缺失,噪音过多,噪音过多,
793_cd,分割标注缺失 表面不光滑,噪音过多 分割标注缺失 表面不光滑,噪音过多,表面不光滑,
795_cd,噪音过多 分割标注缺失 表面不光滑,噪音过多 分割标注缺失,噪音过多,表面不光滑,
797_cd,分割标注缺失 表面不光滑,噪音过多 分割标注缺失,噪音过多,表面不光滑,
799_cd,分割标注缺失 表面不光滑,噪音过多 分割标注缺失,噪音过多,表面不光滑,
801_cd,分割标注缺失 明显缺失 表面不光滑,噪音过多 分割标注缺失 明显孔洞,噪音过多 明显孔洞,表面不光滑,
803_cd,分割标注缺失,噪音过多 分割标注缺失,噪音过多,正常,
805_cd,分割标注缺失 表面不光滑,分割标注缺失 表面不光滑,噪音过多 表面不光滑,表面不光滑,
807_che,正常,噪音过多,噪音过多,正常,
809_che,,噪音过多,噪音过多,车窗孔洞,
811_che,车窗孔洞,噪音过多 车窗孔洞,噪音过多 车窗孔洞,噪音过多 车窗孔洞,
813_bz,噪音过多 表面不光滑 分割标注错误,噪音过多 表面不光滑 分割标注错误,噪音过多 表面不光滑,表面不光滑,
815_bz,噪音过多,噪音过多,噪音过多,噪音过多,
817_che,车窗孔洞,噪音过多 车窗孔洞,噪音过多 车窗孔洞,车窗孔洞,
819_che,正常,噪音过多 车窗孔洞,噪音过多 车窗孔洞,正常,
821_che,车窗孔洞,车窗孔洞,噪音过多,车窗孔洞,
823_che,正常,车窗孔洞,噪音过多,车窗孔洞,
825_che,正常,车窗孔洞,车窗孔洞,正常,
827_che,正常,正常,正常,车窗孔洞,
829_che,正常,正常,正常,正常,
831_che,正常,噪音过多,正常,噪音过多,
833_che,正常,正常,车窗孔洞,正常,
835_che,车窗孔洞,车窗孔洞,车窗孔洞,车窗孔洞,
837_che,车窗孔洞,噪音过多 车窗孔洞,噪音过多 车窗孔洞,车窗孔洞,
839_che,表面不光滑 车窗孔洞 分割标注错误,噪音过多,噪音过多 车窗孔洞,表面不光滑,
841_che,车窗孔洞,车窗孔洞,车窗孔洞,车窗孔洞,
843_che,车窗孔洞,车窗孔洞,噪音过多 车窗孔洞,车窗孔洞,
845_che,正常,车窗孔洞,车窗孔洞,正常,
847_che,分割标注错误,分割标注错误,噪音过多 车窗孔洞,,
849_che,正常,车窗孔洞,车窗孔洞 噪音过多,正常,
851_che,表面不光滑,车窗孔洞,车窗孔洞,正常,
853_che,车窗孔洞,车窗孔洞,车窗孔洞,正常,
855_che,车窗孔洞,车窗孔洞,车窗孔洞,车窗孔洞,
857_che,正常,车窗孔洞,车窗孔洞,正常,
859_che,正常,车窗孔洞,车窗孔洞,正常,
861_che,正常,车窗孔洞,车窗孔洞,正常,
863_che,,车窗孔洞,车窗孔洞,正常,
865_che,正常,车窗孔洞 噪音过多,车窗孔洞 噪音过多,正常,
867_che,正常,车窗孔洞,车窗孔洞 噪音过多,表面不光滑,
869_che,表面不光滑 车窗孔洞,车窗孔洞 噪音过多,车窗孔洞 噪音过多,表面不光滑,
871_che,正常,车窗孔洞,车窗孔洞,正常,
873_che,车窗孔洞,车窗孔洞,车窗孔洞,车窗孔洞,
875_che,车窗孔洞,车窗孔洞,车窗孔洞,车窗孔洞,
877_che,正常,车窗孔洞,车窗孔洞,正常,
879_gcc,分割标注错误 表面不光滑,分割标注错误 表面不光滑 噪音过多,噪音过多,表面不光滑,
881_zjc,正常,正常,正常,正常,
883_che,车窗孔洞,车窗孔洞 噪音过多,车窗孔洞 噪音过多,车窗孔洞,
885_che,正常,噪音过多 车窗孔洞,噪音过多 车窗孔洞,正常,
887_che,正常,车窗孔洞,车窗孔洞,正常,
889_che,车窗孔洞,噪音过多,噪音过多 车窗孔洞,车窗孔洞,
891_che,车窗孔洞,车窗孔洞,车窗孔洞,车窗孔洞,
893_che,车窗孔洞,车窗孔洞,噪音过多 车窗孔洞,车窗孔洞,
895_che,车窗孔洞,车窗孔洞,车窗孔洞,车窗孔洞,
897_che,正常,噪音过多 车窗孔洞,噪音过多 车窗孔洞,正常,
899_che,正常,车窗孔洞,车窗孔洞,正常,
901_che,正常,车窗孔洞,车窗孔洞,正常,
903_che,车窗孔洞,车窗孔洞,车窗孔洞,表面不光滑,
905_che,车窗孔洞,噪音过多 车窗孔洞,噪音过多 车窗孔洞,正常,
907_che,正常,车窗孔洞,车窗孔洞,车窗孔洞,
909_che,车窗孔洞,噪音过多 车窗孔洞,噪音过多 车窗孔洞,车窗孔洞,
911_che,分割标注缺失,分割标注缺失,正常,正常,
913_che,正常,车窗孔洞,车窗孔洞,正常,
915_che,正常,车窗孔洞,车窗孔洞,正常,
917_che,车窗孔洞,车窗孔洞,车窗孔洞,正常,
919_che,正常,噪音过多 车窗孔洞,噪音过多 车窗孔洞,正常,
921_che,正常,车窗孔洞,车窗孔洞,正常,
923_che,正常,车窗孔洞,车窗孔洞,正常,
925_che,车窗孔洞,车窗孔洞,车窗孔洞,车窗孔洞,
927_che,正常,车窗孔洞,车窗孔洞,正常,
929_che,正常,车窗孔洞,车窗孔洞,正常,
931_che,正常,正常,正常,正常,
933_che,正常,明显孔洞 车窗孔洞,明显孔洞 车窗孔洞,正常,
935_che,车窗孔洞,车窗孔洞,车窗孔洞,正常,
937_che,分割标注错误,分割标注错误 车窗孔洞,车窗孔洞,正常,
939_che,正常,车窗孔洞,车窗孔洞,正常,
941_che,车窗孔洞,车窗孔洞,车窗孔洞,正常,
943_che,正常,车窗孔洞,车窗孔洞,正常,
945_che,正常,车窗孔洞,车窗孔洞,正常,
947_che,车窗孔洞,车窗孔洞,车窗孔洞,正常,
949_che,正常,车窗孔洞,车窗孔洞,正常,
951_che,正常,车窗孔洞,车窗孔洞,正常,
953_che,正常,车窗孔洞,车窗孔洞,正常,
955_che,正常,车窗孔洞,车窗孔洞,表面不光滑,
957_che,车窗孔洞,车窗孔洞 噪音过多,车窗孔洞 噪音过多,车窗孔洞,
959_che,车窗孔洞,车窗孔洞 噪音过多,车窗孔洞 噪音过多,车窗孔洞,
961_che,正常,车窗孔洞,车窗孔洞,正963_che,正常,车窗孔洞,车窗孔洞,正常,
965_che,分割标注错误,车窗孔洞 分割标注错误,车窗孔洞,正常,
967_che,正常,车窗孔洞,车窗孔洞,正常,
969_che,正常,车窗孔洞,车窗孔洞,正常,
963_che,正常,车窗孔洞 分割标注错误,车窗孔洞,正常,
971_che,车窗孔洞,车窗孔洞,车窗孔洞 噪音过多,车窗孔洞,
973_che,分割标注缺失,分割标注缺失,正常,,
975_che,分割标注错误,分割标注错误,噪音过多,正常,
977_che,分割标注错误,车窗孔洞,车窗孔洞,正常,
979_che,正常,噪音过多,车窗孔洞 噪音过多,正常,
981_che,正常,车窗孔洞 噪音过多,车窗孔洞,正常,
983_che,车窗孔洞 分割标注错误,噪音过多 车窗孔洞 分割标注错误,车窗孔洞 噪音过多 分割标注错误,车窗孔洞,
985_che,正常,车窗孔洞,车窗孔洞,正常,
987_che,表面不光滑,车窗孔洞 噪音过多,车窗孔洞 噪音过多,正常,
989_che,正常,车窗孔洞,车窗孔洞,车窗孔洞,
991_che,正常,车窗孔洞,车窗孔洞,正常,
993_che,正常,车窗孔洞 噪音过多,车窗孔洞 噪音过多,车窗孔洞,
995_che,正常,噪音过多,噪音过多,噪音过多,
997_che,正常,车窗孔洞 噪音过多,车窗孔洞 噪音过多,正常,
999_che,分割标注错误 车窗孔洞,分割标注错误 车窗孔洞,车窗孔洞 噪音过多,车窗孔洞,
